RECDATE,RECTIME,WINDSPEED,WINDIR,OUTPUTPOWER,STATE
2015/7/13,11:36:40,4.18,143.83,0.0557,1
2015/7/13,11:37:20,3.83,151.65,0.0368,1
2015/7/13,11:38:00,3.26,144.67,0.0042,1
2015/7/13,11:40:30,4.6,124.71,0.0798,1
2015/7/13,11:41:10,3.42,125.08,0.0253,1
2015/7/13,11:44:00,5.13,130.05,0.1295,1
2015/7/13,11:44:10,5.13,130.05,0.1247,1
2015/7/13,11:44:30,5.25,118.93,0.1205,1
2015/7/13,11:38:40,3.66,139.34,0.0401,1
2015/7/13,11:39:20,3.71,127.97,0.0372,1
2015/7/13,11:41:50,4.63,121.16,0.1626,1
2015/7/13,11:42:30,4.54,134.42,0.1498,1
2015/7/13,11:43:10,5.77,132.17,0.1923,1
2015/7/13,11:43:50,5.34,135.52,0.171,1
2015/7/13,11:44:50,6.48,130.3,0.2338,1
2015/7/13,11:48:00,4.99,148.45,0.071,1
2015/7/13,11:35:30,4.98,132.08,0.0624,1
2015/7/13,11:48:50,4.71,138.37,0.0584,1
2015/7/13,11:36:10,4.96,135.8,0.1223,1
2015/7/13,11:36:50,4.18,143.83,0.0828,1
2015/7/13,11:44:20,5.25,130.05,0.1388,1
2015/7/13,11:44:40,5.25,118.93,0.1335,1
2015/7/13,11:49:00,4.71,138.37,0.0428,1
2015/7/13,11:49:10,4.71,138.37,0.0073,1
2015/7/13,11:37:30,4.87,145.6,0.0145,1
2015/7/13,11:38:10,3.26,144.67,0.0099,1
2015/7/13,11:39:30,3.71,127.97,0.0573,1
2015/7/13,11:40:40,3.79,115.81,0.0912,1
2015/7/13,11:41:20,3.42,125.08,0.0518,1
2015/7/13,11:49:50,3.83,153.88,0.0873,1
2015/7/13,11:38:50,3.66,139.34,0.0229,1
2015/7/13,11:42:00,4.63,121.16,0.1873,1
2015/7/13,11:42:40,4.54,134.42,0.1498,1
2015/7/13,11:43:20,5.77,132.17,0.1771,1
2015/7/13,11:45:10,6.48,130.3,0.2543,1
2015/7/13,11:35:40,5.02,152.05,0.1046,1
2015/7/13,11:39:40,3.71,127.97,0.0641,1
2015/7/13,11:45:00,6.48,130.3,0.2245,1
2015/7/13,11:48:10,4.79,134.53,0.069,1
2015/7/13,11:36:20,4.96,135.8,0.1258,1
2015/7/13,11:40:10,4.6,109.77,0.0767,1
2015/7/13,11:37:00,3.83,151.65,0.0207,1
2015/7/13,11:37:40,4.87,145.6,-0.0002,1
2015/7/13,11:40:50,3.79,115.81,0.0527,1
2015/7/13,11:41:30,3.42,125.08,0.0725,1
2015/7/13,11:45:20,7.4,135.86,0.2816,1
2015/7/13,11:45:40,7.4,135.86,0.2679,1
2015/7/13,11:45:50,5.57,135.29,0.2036,1
2015/7/13,11:38:20,2.76,144.67,-0.0081,1
2015/7/13,11:39:00,3.66,139.34,0.0291,1
2015/7/13,11:39:50,4.6,109.77,0.0775,1
2015/7/13,11:42:10,4.03,107.05,0.1946,1
2015/7/13,11:42:50,4.54,134.42,0.1534,1
2015/7/13,11:43:30,5.34,135.52,0.1804,1
2015/7/13,11:45:30,7.4,135.86,0.2747,1
2015/7/13,11:46:00,5.57,135.29,0.1597,1
2015/7/13,11:46:30,4.77,144.74,0.0826,1
2015/7/13,11:35:10,4.98,132.08,0.1201,1
2015/7/13,11:46:10,5.57,135.29,0.0943,1
2015/7/13,11:46:20,4.77,144.74,0.0857,1
2015/7/13,11:46:40,3.42,144.23,0.0454,1
2015/7/13,11:35:50,5.02,152.05,0.1218,1
2015/7/13,11:36:30,4.18,143.83,0.1139,1
2015/7/13,11:40:20,4.6,124.71,0.078,1
2015/7/13,11:46:50,3.42,144.23,0.024,1
2015/7/13,11:47:00,3.42,144.23,0.0571,1
2015/7/13,11:37:10,3.83,151.65,0.03,1
2015/7/13,11:37:50,4.87,145.6,-0.0271,1
2015/7/13,11:41:00,3.79,115.81,0.0531,1
2015/7/13,11:41:40,4.63,121.16,0.1126,1
2015/7/13,11:47:10,4.08,162.86,0.0908,1
2015/7/13,11:47:20,4.08,162.86,0.1005,1
2015/7/13,11:47:30,4.08,162.86,0.1124,1
2015/7/13,11:47:40,4.99,148.45,0.0505,1
2015/7/13,11:38:30,2.76,160.92,0.0135,1
2015/7/13,11:39:10,3.66,139.34,-0.0053,1
2015/7/13,11:40:00,4.6,109.77,0.0685,1
2015/7/13,11:42:20,4.03,107.05,0.1498,1
2015/7/13,11:43:00,5.77,132.17,0.2084,1
2015/7/13,11:48:20,4.79,134.53,0.0709,1
2015/7/13,11:35:20,4.98,132.08,0.1024,1
